Aliment,Catégorie,Emoji catégorie,Emoji aliment,Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Kcal/100 g,Poids moyen (g),Saison
Pomme,Fruits,🍎,🍎,0.3,14.0,0.2,52,182.0,automne
Banane,Fruits,🍎,🍌,1.1,23.0,0.3,96,118.0,toute
Orange,Fruits,🍎,🍊,0.9,12.0,0.1,47,131.0,hiver
Fraise,Fruits,🍎,🍓,0.8,8.0,0.4,32,12.0,printemps
Raisin,Fruits,🍎,🍇,0.7,17.0,0.2,69,5.0,automne
Poire,Fruits,🍎,🍐,0.4,10.0,0.1,57,178.0,automne
Kiwi,Fruits,🍎,🥝,1.1,15.0,0.5,61,76.0,hiver-printemps
Pêche,Fruits,🍎,🍑,0.9,10.0,0.3,39,150.0,été
Mangue,Fruits,🍎,🥭,0.8,15.0,0.4,60,200.0,été
Ananas,Fruits,🍎,🍍,0.5,13.0,0.1,50,905.0,été
Carotte,Légumes,🥦,🥕,0.9,10.0,0.2,41,61.0,toute
Tomate,Légumes,🥦,🍅,0.9,3.9,0.2,18,123.0,été
Concombre,Légumes,🥦,🥒,0.7,3.6,0.1,16,300.0,été
Courgette,Légumes,🥦,🥒,1.2,3.1,0.3,17,196.0,été
Épinard,Légumes,🥦,🥬,2.9,3.6,0.4,23,30.0,hiver-printemps
Brocoli,Légumes,🥦,🥦,2.8,7.0,0.4,34,148.0,automne-printemps
Poivron,Légumes,🥦,🫑,1.3,6.0,0.3,27,119.0,été
Chou-fleur,Légumes,🥦,🥦,1.9,4.9,0.3,25,600.0,automne-hiver
Aubergine,Légumes,🥦,🍆,1.0,6.0,0.2,25,550.0,été
Laitue,Légumes,🥦,🥬,1.4,2.9,0.2,15,600.0,printemps-été
Lentilles,Légumineuses,🥫,🥫,9.0,20.0,0.8,116,100.0,toute
Pois chiches,Légumineuses,🥫,🥫,8.9,27.4,2.6,164,100.0,toute
Haricots rouges,Légumineuses,🥫,🥫,8.7,22.8,0.5,127,100.0,toute
Haricots blancs,Légumineuses,🥫,🥫,8.3,16.9,0.5,127,100.0,toute
Haricots noirs,Légumineuses,🥫,🥫,8.9,23.7,0.5,339,100.0,toute
Soja (edamame),Légumineuses,🥫,🥫,11.2,8.9,5.2,122,100.0,toute
Pois cassés,Légumineuses,🥫,🥫,8.3,41.0,1.2,343,100.0,toute
Fèves,Légumineuses,🥫,🥫,7.6,13.3,0.8,88,100.0,toute
Pois verts,Légumineuses,🥫,🥫,5.4,14.5,0.4,81,100.0,toute
Lupin,Légumineuses,🥫,🥫,15.6,9.6,5.6,371,100.0,toute
Riz complet,Céréales et pseudo-céréales,🌾,🍚,7.5,23.5,1.9,111,100.0,toute
Pâtes complètes,Céréales et pseudo-céréales,🌾,🍝,12.5,70.0,1.8,350,100.0,toute
Boulgour,Céréales et pseudo-céréales,🌾,🌾,12.3,76.0,1.3,342,100.0,toute
Quinoa,Céréales et pseudo-céréales,🌾,🥣,14.1,64.2,6.1,368,100.0,toute
Sarrasin,Céréales et pseudo-céréales,🌾,🌾,13.3,71.5,3.4,343,100.0,toute
Millet,Céréales et pseudo-céréales,🌾,🌾,11.0,72.8,4.2,378,100.0,toute
Avoine,Céréales et pseudo-céréales,🌾,🥣,16.9,66.3,6.9,389,100.0,toute
Pain complet,Pains et farines,🍞,🍞,8.5,43.0,3.5,250,50.0,toute
Pain multicéréales,Pains et farines,🍞,🍞,9.0,44.0,4.0,260,50.0,toute
Pain de seigle,Pains et farines,🍞,🍞,6.0,48.0,1.5,230,50.0,toute
Farine complète de blé,Pains et farines,🍞,🌾,13.0,72.0,2.0,340,100.0,toute
Farine complète de seigle,Pains et farines,🍞,🌾,9.0,68.0,2.5,325,100.0,toute
Farine complète d'épeautre,Pains et farines,🍞,🌾,14.0,68.0,3.0,330,100.0,toute
Poitrine de poulet,Protéines animales et alternatives,🍗,🍗,31.0,0.0,3.6,165,120.0,toute
Dinde (filet),Protéines animales et alternatives,🍗,🍗,29.0,0.0,1.7,145,120.0,toute
Bœuf maigre,Protéines animales et alternatives,🍗,🥩,26.0,0.0,10.0,217,120.0,toute
Saumon,Protéines animales et alternatives,🍗,🐟,20.4,0.0,13.0,208,150.0,toute
Cabillaud,Protéines animales et alternatives,🍗,🐟,18.0,0.0,0.7,82,150.0,toute
Œuf,Protéines animales et alternatives,🍗,🥚,13.0,0.6,10.6,155,60.0,toute
Tofu ferme,Protéines animales et alternatives,🍗,🥡,8.0,1.9,4.8,76,100.0,toute
Tempeh,Protéines animales et alternatives,🍗,🍱,19.0,9.4,11.0,193,100.0,toute
Protéine végétale texturée,Protéines animales et alternatives,🍗,🫘,50.0,10.0,1.0,352,100.0,toute
Lait écrémé,Produits laitiers et substituts,🥛,🥛,3.4,5.0,0.1,35,244.0,toute
Lait demi-écrémé,Produits laitiers et substituts,🥛,🥛,3.3,5.0,1.5,50,244.0,toute
Yaourt nature,Produits laitiers et substituts,🥛,🍶,4.1,6.0,3.5,61,125.0,toute
Yaourt végétal (soja),Produits laitiers et substituts,🥛,🥛,3.5,4.0,2.0,60,125.0,toute
Fromage blanc 0%,Produits laitiers et substituts,🥛,🍶,8.0,3.0,0.1,45,125.0,toute
Lait d'amande,Produits laitiers et substituts,🥛,🥛,0.5,12.0,1.0,50,240.0,toute
Lait de soja,Produits laitiers et substituts,🥛,🥛,3.6,6.0,1.8,54,240.0,toute
Lait d'avoine,Produits laitiers et substituts,🥛,🥛,1.0,10.0,1.5,60,240.0,toute
Amandes,Noix et graines,🥜,🌰,21.2,21.6,49.9,579,1.2,toute
Noix de cajou,Noix et graines,🥜,🌰,18.0,30.2,43.8,553,1.4,toute
Noisettes,Noix et graines,🥜,🌰,14.1,16.7,60.8,628,1.2,toute
Noix,Noix et graines,🥜,🌰,15.2,13.7,65.2,654,4.5,toute
Graines de chia,Noix et graines,🥜,🌱,16.5,42.1,30.7,486,0.5,toute
